sequenceNumber,sensorId,occupied,confidence,source,observedAt
42,UOW-P8-GEN-008,true,0.92,simulated-loop,2026-05-18T10:48:00Z
43,UOW-P1-GEN-005,true,0.93,simulated-loop,2026-05-18T10:52:00Z
44,UOW-P1-GEN-012,false,0.94,simulated-loop,2026-05-18T10:56:00Z
45,UOW-P1-GEN-019,true,0.95,simulated-loop,2026-05-18T11:00:00Z
46,UOW-P2-ACC-001,false,0.96,simulated-loop,2026-05-18T11:04:00Z
47,UOW-P2-GEN-008,true,0.97,simulated-loop,2026-05-18T11:08:00Z
48,UOW-P2-GEN-015,true,0.98,simulated-loop,2026-05-18T11:12:00Z
49,UOW-P3-GEN-007,false,0.92,simulated-loop,2026-05-18T11:16:00Z
50,UOW-P3-GEN-014,true,0.93,simulated-loop,2026-05-18T11:20:00Z
51,UOW-P4-ACC-001,false,0.94,simulated-loop,2026-05-18T11:24:00Z
52,UOW-P4-GEN-008,true,0.95,simulated-loop,2026-05-18T11:28:00Z
53,UOW-P4-GEN-015,true,0.96,simulated-loop,2026-05-18T11:32:00Z
54,UOW-P5-GEN-007,false,0.97,simulated-loop,2026-05-18T11:36:00Z
55,UOW-P5-GEN-014,true,0.98,simulated-loop,2026-05-18T11:40:00Z
56,UOW-P8-GEN-006,true,0.92,simulated-loop,2026-05-18T11:44:00Z
57,UOW-P1-ACC-003,false,0.93,simulated-loop,2026-05-18T11:48:00Z
58,UOW-P1-GEN-010,true,0.94,simulated-loop,2026-05-18T11:52:00Z
59,UOW-P1-GEN-017,false,0.95,simulated-loop,2026-05-18T11:56:00Z
60,UOW-P1-GEN-024,true,0.96,simulated-loop,2026-05-18T12:00:00Z
61,UOW-P2-GEN-006,true,0.97,simulated-loop,2026-05-18T12:04:00Z
62,UOW-P2-GEN-013,false,0.98,simulated-loop,2026-05-18T12:08:00Z
63,UOW-P3-GEN-005,true,0.92,simulated-loop,2026-05-18T12:12:00Z
64,UOW-P3-GEN-012,false,0.93,simulated-loop,2026-05-18T12:16:00Z
65,UOW-P3-GEN-019,true,0.94,simulated-loop,2026-05-18T12:20:00Z
66,UOW-P4-GEN-006,true,0.95,simulated-loop,2026-05-18T12:24:00Z
67,UOW-P4-GEN-013,false,0.96,simulated-loop,2026-05-18T12:28:00Z
68,UOW-P5-GEN-005,true,0.97,simulated-loop,2026-05-18T12:32:00Z
69,UOW-P5-GEN-012,true,0.98,simulated-loop,2026-05-18T12:36:00Z
70,UOW-P8-GEN-004,false,0.92,simulated-loop,2026-05-18T12:40:00Z
71,UOW-P1-ACC-001,true,0.93,simulated-loop,2026-05-18T12:44:00Z
72,UOW-P1-GEN-008,false,0.94,simulated-loop,2026-05-18T12:48:00Z
73,UOW-P1-GEN-015,true,0.95,simulated-loop,2026-05-18T12:52:00Z
74,UOW-P1-GEN-022,true,0.96,simulated-loop,2026-05-18T12:56:00Z
75,UOW-P2-GEN-004,false,0.97,simulated-loop,2026-05-18T13:00:00Z
76,UOW-P2-GEN-011,true,0.98,simulated-loop,2026-05-18T13:04:00Z
77,UOW-P3-GEN-003,false,0.92,simulated-loop,2026-05-18T13:08:00Z
78,UOW-P3-GEN-010,true,0.93,simulated-loop,2026-05-18T13:12:00Z
79,UOW-P3-GEN-017,true,0.94,simulated-loop,2026-05-18T13:16:00Z
80,UOW-P4-GEN-004,false,0.95,simulated-loop,2026-05-18T13:20:00Z
81,UOW-P4-GEN-011,true,0.96,simulated-loop,2026-05-18T13:24:00Z
82,UOW-P5-GEN-003,true,0.97,simulated-loop,2026-05-18T13:28:00Z
83,UOW-P5-GEN-010,false,0.98,simulated-loop,2026-05-18T13:32:00Z
84,UOW-P8-GEN-002,true,0.92,simulated-loop,2026-05-18T13:36:00Z
85,UOW-P8-GEN-009,false,0.93,simulated-loop,2026-05-18T13:40:00Z
86,UOW-P1-GEN-006,true,0.94,simulated-loop,2026-05-18T13:44:00Z
87,UOW-P1-GEN-013,true,0.95,simulated-loop,2026-05-18T13:48:00Z
88,UOW-P1-GEN-020,false,0.96,simulated-loop,2026-05-18T13:52:00Z
89,UOW-P2-GEN-002,true,0.97,simulated-loop,2026-05-18T13:56:00Z
90,UOW-P2-GEN-009,false,0.98,simulated-loop,2026-05-18T14:00:00Z
91,UOW-P3-ACC-001,true,0.92,simulated-loop,2026-05-18T14:04:00Z
92,UOW-P3-GEN-008,true,0.93,simulated-loop,2026-05-18T14:08:00Z
93,UOW-P3-GEN-015,false,0.94,simulated-loop,2026-05-18T14:12:00Z
94,UOW-P4-GEN-002,true,0.95,simulated-loop,2026-05-18T14:16:00Z
95,UOW-P4-GEN-009,true,0.96,simulated-loop,2026-05-18T14:20:00Z
96,UOW-P5-ACC-001,false,0.97,simulated-loop,2026-05-18T14:24:00Z
97,UOW-P5-GEN-008,true,0.98,simulated-loop,2026-05-18T14:28:00Z
98,UOW-P5-GEN-015,false,0.92,simulated-loop,2026-05-18T14:32:00Z
99,UOW-P8-GEN-007,true,0.93,simulated-loop,2026-05-18T14:36:00Z
100,UOW-P1-GEN-004,true,0.94,simulated-loop,2026-05-18T14:40:00Z
101,UOW-P1-GEN-011,false,0.95,simulated-loop,2026-05-18T14:44:00Z
102,UOW-P1-GEN-018,true,0.96,simulated-loop,2026-05-18T14:48:00Z
103,UOW-P1-GEN-025,false,0.97,simulated-loop,2026-05-18T14:52:00Z
104,UOW-P2-GEN-007,true,0.98,simulated-loop,2026-05-18T14:56:00Z
105,UOW-P2-GEN-014,true,0.92,simulated-loop,2026-05-18T15:00:00Z
106,UOW-P3-GEN-006,false,0.93,simulated-loop,2026-05-18T15:04:00Z
107,UOW-P3-GEN-013,true,0.94,simulated-loop,2026-05-18T15:08:00Z
108,UOW-P3-GEN-020,true,0.95,simulated-loop,2026-05-18T15:12:00Z
109,UOW-P4-GEN-007,false,0.96,simulated-loop,2026-05-18T15:16:00Z
110,UOW-P4-GEN-014,true,0.97,simulated-loop,2026-05-18T15:20:00Z
111,UOW-P5-GEN-006,false,0.98,simulated-loop,2026-05-18T15:24:00Z
112,UOW-P5-GEN-013,true,0.92,simulated-loop,2026-05-18T15:28:00Z
113,UOW-P8-GEN-005,true,0.93,simulated-loop,2026-05-18T15:32:00Z
114,UOW-P1-ACC-002,false,0.94,simulated-loop,2026-05-18T15:36:00Z
115,UOW-P1-GEN-009,true,0.95,simulated-loop,2026-05-18T15:40:00Z
116,UOW-P1-GEN-016,false,0.96,simulated-loop,2026-05-18T15:44:00Z
117,UOW-P1-GEN-023,true,0.97,simulated-loop,2026-05-18T15:48:00Z
118,UOW-P2-GEN-005,true,0.98,simulated-loop,2026-05-18T15:52:00Z
119,UOW-P2-GEN-012,false,0.92,simulated-loop,2026-05-18T15:56:00Z
120,UOW-P3-GEN-004,true,0.93,simulated-loop,2026-05-18T16:00:00Z
121,UOW-P3-GEN-011,true,0.94,simulated-loop,2026-05-18T16:04:00Z
122,UOW-P3-GEN-018,false,0.95,simulated-loop,2026-05-18T16:08:00Z
123,UOW-P4-GEN-005,true,0.96,simulated-loop,2026-05-18T16:12:00Z
124,UOW-P4-GEN-012,false,0.97,simulated-loop,2026-05-18T16:16:00Z
125,UOW-P5-GEN-004,true,0.98,simulated-loop,2026-05-18T16:20:00Z
126,UOW-P5-GEN-011,true,0.92,simulated-loop,2026-05-18T16:24:00Z
127,UOW-P8-GEN-003,false,0.93,simulated-loop,2026-05-18T16:28:00Z
128,UOW-P8-GEN-010,true,0.94,simulated-loop,2026-05-18T16:32:00Z
129,UOW-P1-GEN-007,false,0.95,simulated-loop,2026-05-18T16:36:00Z
130,UOW-P1-GEN-014,true,0.96,simulated-loop,2026-05-18T16:40:00Z
131,UOW-P1-GEN-021,true,0.97,simulated-loop,2026-05-18T16:44:00Z
132,UOW-P2-GEN-003,false,0.98,simulated-loop,2026-05-18T16:48:00Z
133,UOW-P2-GEN-010,true,0.92,simulated-loop,2026-05-18T16:52:00Z
134,UOW-P3-GEN-002,true,0.93,simulated-loop,2026-05-18T16:56:00Z
135,UOW-P3-GEN-009,false,0.94,simulated-loop,2026-05-18T17:00:00Z
136,UOW-P3-GEN-016,true,0.95,simulated-loop,2026-05-18T17:04:00Z
137,UOW-P4-GEN-003,false,0.96,simulated-loop,2026-05-18T17:08:00Z
138,UOW-P4-GEN-010,true,0.97,simulated-loop,2026-05-18T17:12:00Z
139,UOW-P5-GEN-002,true,0.98,simulated-loop,2026-05-18T17:16:00Z
140,UOW-P5-GEN-009,false,0.92,simulated-loop,2026-05-18T17:20:00Z
