datasetId,lotName,zone,bayNumber,sensorId,maxParkingMinutes,disabilityPermitRequired,occupied,confidence,statusSource,lastUpdated,latitude,longitude
21,P1,General,021,UOW-P1-GEN-021,300,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40650,150.88020
22,P1,General,022,UOW-P1-GEN-022,300,false,true,0.98,dataset,2026-05-18T08:00:00Z,-34.40648,150.88022
23,P1,General,023,UOW-P1-GEN-023,300,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40646,150.88024
24,P1,General,024,UOW-P1-GEN-024,300,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40644,150.88026
25,P1,General,025,UOW-P1-GEN-025,300,false,true,0.93,dataset,2026-05-18T08:00:00Z,-34.40642,150.88028
26,P2,Accessible,001,UOW-P2-ACC-001,180,true,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40580,150.87870
27,P2,General,002,UOW-P2-GEN-002,180,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40578,150.87872
28,P2,General,003,UOW-P2-GEN-003,180,false,false,0.96,dataset,2026-05-18T08:00:00Z,-34.40576,150.87874
29,P2,General,004,UOW-P2-GEN-004,180,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40574,150.87876
30,P2,General,005,UOW-P2-GEN-005,180,false,true,0.98,dataset,2026-05-18T08:00:00Z,-34.40572,150.87878
31,P2,General,006,UOW-P2-GEN-006,180,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40570,150.87880
32,P2,General,007,UOW-P2-GEN-007,180,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40568,150.87882
33,P2,General,008,UOW-P2-GEN-008,180,false,true,0.93,dataset,2026-05-18T08:00:00Z,-34.40566,150.87884
34,P2,General,009,UOW-P2-GEN-009,180,false,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40564,150.87886
35,P2,General,010,UOW-P2-GEN-010,180,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40562,150.87888
36,P2,General,011,UOW-P2-GEN-011,180,false,true,0.96,dataset,2026-05-18T08:00:00Z,-34.40560,150.87890
37,P2,General,012,UOW-P2-GEN-012,180,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40558,150.87892
38,P2,General,013,UOW-P2-GEN-013,180,false,true,0.98,dataset,2026-05-18T08:00:00Z,-34.40556,150.87894
39,P2,General,014,UOW-P2-GEN-014,180,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40554,150.87896
40,P2,General,015,UOW-P2-GEN-015,180,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40552,150.87898
41,P3,Accessible,001,UOW-P3-ACC-001,360,true,true,0.93,dataset,2026-05-18T08:00:00Z,-34.40820,150.88100
42,P3,General,002,UOW-P3-GEN-002,360,false,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40818,150.88102
43,P3,General,003,UOW-P3-GEN-003,360,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40816,150.88104
44,P3,General,004,UOW-P3-GEN-004,360,false,true,0.96,dataset,2026-05-18T08:00:00Z,-34.40814,150.88106
45,P3,General,005,UOW-P3-GEN-005,360,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40812,150.88108
46,P3,General,006,UOW-P3-GEN-006,360,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40810,150.88110
47,P3,General,007,UOW-P3-GEN-007,360,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40808,150.88112
48,P3,General,008,UOW-P3-GEN-008,360,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40806,150.88114
49,P3,General,009,UOW-P3-GEN-009,360,false,true,0.93,dataset,2026-05-18T08:00:00Z,-34.40804,150.88116
50,P3,General,010,UOW-P3-GEN-010,360,false,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40802,150.88118
51,P3,General,011,UOW-P3-GEN-011,360,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40800,150.88120
52,P3,General,012,UOW-P3-GEN-012,360,false,true,0.96,dataset,2026-05-18T08:00:00Z,-34.40798,150.88122
53,P3,General,013,UOW-P3-GEN-013,360,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40796,150.88124
54,P3,General,014,UOW-P3-GEN-014,360,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40794,150.88126
55,P3,General,015,UOW-P3-GEN-015,360,false,true,0.99,dataset,2026-05-18T08:00:00Z,-34.40792,150.88128
56,P3,General,016,UOW-P3-GEN-016,360,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40790,150.88130
57,P3,General,017,UOW-P3-GEN-017,360,false,true,0.93,dataset,2026-05-18T08:00:00Z,-34.40788,150.88132
58,P3,General,018,UOW-P3-GEN-018,360,false,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40786,150.88134
59,P3,General,019,UOW-P3-GEN-019,360,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40784,150.88136
60,P3,General,020,UOW-P3-GEN-020,360,false,true,0.96,dataset,2026-05-18T08:00:00Z,-34.40782,150.88138
61,P4,Accessible,001,UOW-P4-ACC-001,360,true,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40760,150.87790
62,P4,General,002,UOW-P4-GEN-002,360,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40758,150.87792
63,P4,General,003,UOW-P4-GEN-003,360,false,true,0.99,dataset,2026-05-18T08:00:00Z,-34.40756,150.87794
64,P4,General,004,UOW-P4-GEN-004,360,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40754,150.87796
65,P4,General,005,UOW-P4-GEN-005,360,false,false,0.93,dataset,2026-05-18T08:00:00Z,-34.40752,150.87798
66,P4,General,006,UOW-P4-GEN-006,360,false,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40750,150.87800
67,P4,General,007,UOW-P4-GEN-007,360,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40748,150.87802
68,P4,General,008,UOW-P4-GEN-008,360,false,true,0.96,dataset,2026-05-18T08:00:00Z,-34.40746,150.87804
69,P4,General,009,UOW-P4-GEN-009,360,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40744,150.87806
70,P4,General,010,UOW-P4-GEN-010,360,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40742,150.87808
71,P4,General,011,UOW-P4-GEN-011,360,false,true,0.99,dataset,2026-05-18T08:00:00Z,-34.40740,150.87810
72,P4,General,012,UOW-P4-GEN-012,360,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40738,150.87812
73,P4,General,013,UOW-P4-GEN-013,360,false,false,0.93,dataset,2026-05-18T08:00:00Z,-34.40736,150.87814
74,P4,General,014,UOW-P4-GEN-014,360,false,true,0.94,dataset,2026-05-18T08:00:00Z,-34.40734,150.87816
75,P4,General,015,UOW-P4-GEN-015,360,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40732,150.87818
76,P5,Accessible,001,UOW-P5-ACC-001,480,true,true,0.96,dataset,2026-05-18T08:00:00Z,-34.40490,150.88090
77,P5,General,002,UOW-P5-GEN-002,480,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40488,150.88092
78,P5,General,003,UOW-P5-GEN-003,480,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40486,150.88094
79,P5,General,004,UOW-P5-GEN-004,480,false,true,0.99,dataset,2026-05-18T08:00:00Z,-34.40484,150.88096
80,P5,General,005,UOW-P5-GEN-005,480,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40482,150.88098
81,P5,General,006,UOW-P5-GEN-006,480,false,false,0.93,dataset,2026-05-18T08:00:00Z,-34.40480,150.88100
82,P5,General,007,UOW-P5-GEN-007,480,false,true,0.94,dataset,2026-05-18T08:00:00Z,-34.40478,150.88102
83,P5,General,008,UOW-P5-GEN-008,480,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40476,150.88104
84,P5,General,009,UOW-P5-GEN-009,480,false,false,0.96,dataset,2026-05-18T08:00:00Z,-34.40474,150.88106
85,P5,General,010,UOW-P5-GEN-010,480,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40472,150.88108
86,P5,General,011,UOW-P5-GEN-011,480,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40470,150.88110
87,P5,General,012,UOW-P5-GEN-012,480,false,true,0.99,dataset,2026-05-18T08:00:00Z,-34.40468,150.88112
88,P5,General,013,UOW-P5-GEN-013,480,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40466,150.88114
89,P5,General,014,UOW-P5-GEN-014,480,false,false,0.93,dataset,2026-05-18T08:00:00Z,-34.40464,150.88116
90,P5,General,015,UOW-P5-GEN-015,480,false,true,0.94,dataset,2026-05-18T08:00:00Z,-34.40462,150.88118
91,P8,Accessible,001,UOW-P8-ACC-001,240,true,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40610,150.88220
92,P8,General,002,UOW-P8-GEN-002,240,false,false,0.96,dataset,2026-05-18T08:00:00Z,-34.40608,150.88222
93,P8,General,003,UOW-P8-GEN-003,240,false,true,0.97,dataset,2026-05-18T08:00:00Z,-34.40606,150.88224
94,P8,General,004,UOW-P8-GEN-004,240,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40604,150.88226
95,P8,General,005,UOW-P8-GEN-005,240,false,true,0.99,dataset,2026-05-18T08:00:00Z,-34.40602,150.88228
96,P8,General,006,UOW-P8-GEN-006,240,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40600,150.88230
97,P8,General,007,UOW-P8-GEN-007,240,false,false,0.93,dataset,2026-05-18T08:00:00Z,-34.40598,150.88232
98,P8,General,008,UOW-P8-GEN-008,240,false,true,0.94,dataset,2026-05-18T08:00:00Z,-34.40596,150.88234
99,P8,General,009,UOW-P8-GEN-009,240,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40594,150.88236
100,P8,General,010,UOW-P8-GEN-010,240,false,false,0.96,dataset,2026-05-18T08:00:00Z,-34.40592,150.88238
